"Story","Title","Result","Date","Stability","Duration (s)"
"Delete user","Delete user successfully.","SUCCESS","2023-08-28T16:14:24.5039068-05:00[America/Bogota]","0.0","6.94"
"Create user","Create user successfully.","SUCCESS","2023-08-28T16:04:13.5582727-05:00[America/Bogota]","0.0","5.84"
"Update user","Update user successfully.","SUCCESS","2023-08-28T16:13:41.1345769-05:00[America/Bogota]","0.0","5.26"
