"Story","Title","Result","Date","Stability","Duration (s)"
"Delete user","Delete user successfully.","ERROR","2023-08-26T14:58:48.0618421-05:00[America/Bogota]","0.0","2.7"
"Create user","Create user successfully.","SUCCESS","2023-08-26T14:57:35.0114623-05:00[America/Bogota]","0.0","3.8"
